test1,test2,test3,test4,test5
Lo 4428,Lo 4412,Lo 4412,Lo 4408,Lo 4408
Hi 4600,Hi 4604,Hi 4596,Hi 4600,Hi 4600
Lo 500,Lo 496,Lo 504,Lo 504,Lo 500
Hi 1748,Hi 1748,Hi 1748,Hi 1748,Hi 1724
Lo 504,Lo 496,Lo 496,Lo 492,Lo 520
Hi 620,Hi 628,Hi 628,Hi 632,Hi 604
Lo 504,Lo 496,Lo 496,Lo 496,Lo 520
Hi 1740,Hi 1748,Hi 1720,Hi 1748,Hi 1748
Lo 504,Lo 504,Lo 532,Lo 496,Lo 496
Hi 1740,Hi 1740,Hi 1740,Hi 1748,Hi 1748
Lo 500,Lo 504,Lo 500,Lo 496,Lo 504
Hi 624,Hi 620,Hi 624,Hi 628,Hi 620
Lo 504,Lo 504,Lo 504,Lo 500,Lo 504
Hi 1748,Hi 1748,Hi 1740,Hi 1744,Hi 1740
Lo 496,Lo 496,Lo 504,Lo 500,Lo 504
Hi 620,Hi 628,Hi 620,Hi 624,Hi 620
Lo 504,Lo 496,Lo 504,Lo 500,Lo 504
Hi 628,Hi 620,Hi 620,Hi 624,Hi 624
Lo 496,Lo 504,Lo 504,Lo 504,Lo 500
Hi 1748,Hi 1748,Hi 1740,Hi 1736,Hi 1748
Lo 496,Lo 492,Lo 504,Lo 508,Lo 496
Hi 628,Hi 632,Hi 620,Hi 620,Hi 620
Lo 496,Lo 492,Lo 504,Lo 504,Lo 504
Hi 1748,Hi 1728,Hi 1748,Hi 1740,Hi 1748
Lo 504,Lo 516,Lo 500,Lo 504,Lo 496
Hi 1740,Hi 1752,Hi 1744,Hi 1748,Hi 1748
Lo 500,Lo 504,Lo 500,Lo 492,Lo 496
Hi 624,Hi 620,Hi 624,Hi 632,Hi 628
Lo 500,Lo 496,Lo 500,Lo 492,Lo 504
Hi 1744,Hi 1748,Hi 1740,Hi 1752,Hi 1740
Lo 500,Lo 504,Lo 504,Lo 492,Lo 504
Hi 624,Hi 620,Hi 620,Hi 628,Hi 620
Lo 504,Lo 504,Lo 508,Lo 496,Lo 504
Hi 620,Hi 620,Hi 620,Hi 632,Hi 620
Lo 504,Lo 496,Lo 504,Lo 492,Lo 504
Hi 620,Hi 628,Hi 620,Hi 632,Hi 620
Lo 504,Lo 504,Lo 492,Lo 496,Lo 496
Hi 620,Hi 620,Hi 632,Hi 620,Hi 628
Lo 504,Lo 492,Lo 496,Lo 504,Lo 496
Hi 620,Hi 632,Hi 628,Hi 620,Hi 628
Lo 496,Lo 492,Lo 492,Lo 504,Lo 496
Hi 628,Hi 624,Hi 624,Hi 620,Hi 628
Lo 492,Lo 504,Lo 500,Lo 500,Lo 496
Hi 1752,Hi 1748,Hi 1724,Hi 1744,Hi 1748
Lo 500,Lo 496,Lo 528,Lo 500,Lo 500
Hi 1744,Hi 1748,Hi 1736,Hi 1752,Hi 1744
Lo 500,Lo 504,Lo 508,Lo 492,Lo 500
Hi 620,Hi 620,Hi 620,Hi 632,Hi 624
Lo 508,Lo 496,Lo 504,Lo 492,Lo 504
Hi 620,Hi 628,Hi 620,Hi 632,Hi 620
Lo 504,Lo 496,Lo 496,Lo 492,Lo 504
Hi 1740,Hi 1732,Hi 1748,Hi 1752,Hi 1740
Lo 504,Lo 520,Lo 508,Lo 496,Lo 504
Hi 1740,Hi 1740,Hi 1748,Hi 1748,Hi 1748
Lo 500,Lo 504,Lo 492,Lo 496,Lo 496
Hi 1752,Hi 1748,Hi 1752,Hi 1748,Hi 1748
Lo 500,Lo 496,Lo 500,Lo 500,Lo 492
Hi 1744,Hi 1748,Hi 1744,Hi 1752,Hi 1752
Lo 500,Lo 504,Lo 500,Lo 492,Lo 500
Hi 620,Hi 620,Hi 620,Hi 624,Hi 624
Lo 504,Lo 496,Lo 504,Lo 500,Lo 500
Hi 620,Hi 628,Hi 620,Hi 620,Hi 624
Lo 504,Lo 496,Lo 496,Lo 504,Lo 492
Hi 1740,Hi 1748,Hi 1748,Hi 1752,Hi 1748
Lo 504,Lo 500,Lo 504,Lo 492,Lo 504
Hi 1740,Hi 1744,Hi 1740,Hi 1752,Hi 1752
Lo 504,Lo 500,Lo 504,Lo 492,Lo 492
